originregion_id,originregion_name,destinationregion_id,destinationregion_name,regionflow_1000,regionflow_1500,regionflow_1800,regionflow_1900,regionflow_1950,xxx,origin_iso,origin_name,destination_iso,destination_name,countryflow_1000,countryflow_1500,countryflow_1800,countryflow_1900,countryflow_1950,origin_show,destination_show
CAN,Canada,CAN,Canada,0,54,30246,572886,1853094,,place01,Montreal,place01,Montreal,0,0,0,0,0,1,1
CAN,Canada,CAN,Canada,0,54,30246,572886,1853094,,place01,Montreal,place02,Ottawa,0,0,1,16,100,1,1
CAN,Canada,CAN,Canada,0,54,30246,572886,1853094,,place01,Montreal,place03,Toronto,0,0,1,4,289,1,1
CAN,Canada,USA,United States,0,560,21875,999635,3096275,,place01,Montreal,place04,Albany,0,0,0,0,0,1,1
CAN,Canada,USA,United States,0,560,21875,999635,3096275,,place01,Montreal,place05,Atlanta,0,0,0,0,4,1,1
CAN,Canada,USA,United States,0,560,21875,999635,3096275,,place01,Montreal,place06,Baltimore,0,0,0,0,0,1,1
CAN,Canada,USA,United States,0,560,21875,999635,3096275,,place01,Montreal,place07,Boston,0,0,1,0,0,1,1
CAN,Canada,USA,United States,0,560,21875,999635,3096275,,place01,Montreal,place08,Buffalo,0,0,0,0,0,1,1
CAN,Canada,USA,United States,0,560,21875,999635,3096275,,place01,Montreal,place09,Burbank,0,0,0,0,1,1,1
CAN,Canada,USA,United States,0,560,21875,999635,3096275,,place01,Montreal,place10,California,0,0,0,0,0,1,1
CAN,Canada,POL,Poland,0,0,0,0,0,,place01,Montreal,place100,Warsaw,0,0,0,0,0,1,1
CAN,Canada,POL,Poland,0,0,0,0,0,,place01,Montreal,place101,Wroclaw,0,0,0,0,0,1,1
CAN,Canada,RUS,Russia,0,0,0,0,0,,place01,Montreal,place103,Moscow,0,0,0,0,0,1,1
CAN,Canada,RUS,Russia,0,0,0,0,0,,place01,Montreal,place104,Russia,0,0,0,0,0,1,1
CAN,Canada,ESP,Spain,0,0,0,0,0,,place01,Montreal,place105,Madrid,0,0,0,0,0,1,1
CAN,Canada,ESP,Spain,0,0,0,0,0,,place01,Montreal,place106,Seville,0,0,0,0,0,1,1
CAN,Canada,USA,United States,0,560,21875,999635,3096275,,place01,Montreal,place11,Chicago,0,0,0,0,0,1,1
CAN,Canada,GBR,United Kingdom,0,5,980,4500,7445,,place01,Montreal,place111,Birmingham,0,0,0,0,0,1,1
CAN,Canada,GBR,United Kingdom,0,5,980,4500,7445,,place01,Montreal,place112,Bristol,0,0,0,0,0,1,1
CAN,Canada,GBR,United Kingdom,0,5,980,4500,7445,,place01,Montreal,place113,Cambridge,0,0,0,0,0,1,1
CAN,Canada,GBR,United Kingdom,0,5,980,4500,7445,,place01,Montreal,place114,England,0,0,0,0,0,1,1
CAN,Canada,GBR,United Kingdom,0,5,980,4500,7445,,place01,Montreal,place115,Glasgow,0,0,0,0,0,1,1
CAN,Canada,GBR,United Kingdom,0,5,980,4500,7445,,place01,Montreal,place116,Liverpool,0,0,0,0,0,1,1
CAN,Canada,GBR,United Kingdom,0,5,980,4500,7445,,place01,Montreal,place117,London,0,0,0,9,5,1,1
CAN,Canada,GBR,United Kingdom,0,5,980,4500,7445,,place01,Montreal,place118,Manchester,0,0,0,0,0,1,1
CAN,Canada,GBR,United Kingdom,0,5,980,4500,7445,,place01,Montreal,place119,Oxford,0,0,0,0,1,1,1
CAN,Canada,USA,United States,0,560,21875,999635,3096275,,place01,Montreal,place12,Cincinnati,0,0,0,0,0,1,1
CAN,Canada,IND,India,0,0,0,0,0,,place01,Montreal,place120,India,0,0,0,0,0,1,1
CAN,Canada,IND,India,0,0,0,0,0,,place01,Montreal,place121,Mumbai,0,0,0,0,0,1,1
CAN,Canada,AUS,Australia,0,0,0,0,0,,place01,Montreal,place124,Melbourne,0,0,0,0,0,1,1
CAN,Canada,AUS,Australia,0,0,0,0,0,,place01,Montreal,place125,Sydney,0,0,0,0,0,1,1
CAN,Canada,JPN,Japan,0,0,0,0,0,,place01,Montreal,place126,Kagoshima,0,0,0,0,0,1,1
CAN,Canada,JPN,Japan,0,0,0,0,0,,place01,Montreal,place127,Kyoto,0,0,0,0,0,1,1
CAN,Canada,JPN,Japan,0,0,0,0,0,,place01,Montreal,place128,Tokyo,0,0,0,0,0,1,1
CAN,Canada,USA,United States,0,560,21875,999635,3096275,,place01,Montreal,place13,Cleveland,0,0,0,0,1,1,1
CAN,Canada,USA,United States,0,560,21875,999635,3096275,,place01,Montreal,place14,Dallas,0,0,0,0,0,1,1
CAN,Canada,USA,United States,0,560,21875,999635,3096275,,place01,Montreal,place15,Denver,0,0,0,0,0,1,1
CAN,Canada,USA,United States,0,560,21875,999635,3096275,,place01,Montreal,place16,Detroit,0,1,0,0,0,1,1
CAN,Canada,USA,United States,0,560,21875,999635,3096275,,place01,Montreal,place17,Hartford,0,0,0,0,0,1,1
CAN,Canada,USA,United States,0,560,21875,999635,3096275,,place01,Montreal,place18,Hollywood,0,0,0,1,1,1,1
CAN,Canada,USA,United States,0,560,21875,999635,3096275,,place01,Montreal,place19,Houston,0,0,0,0,0,1,1
CAN,Canada,USA,United States,0,560,21875,999635,3096275,,place01,Montreal,place20,Illinois,0,0,0,0,0,1,1
CAN,Canada,USA,United States,0,560,21875,999635,3096275,,place01,Montreal,place21,Kansas City,0,0,0,0,0,1,1
CAN,Canada,USA,United States,0,560,21875,999635,3096275,,place01,Montreal,place22,Los Angeles,0,0,0,9,17,1,1
CAN,Canada,USA,United States,0,560,21875,999635,3096275,,place01,Montreal,place23,Los Angeles County,0,0,0,0,0,1,1
CAN,Canada,USA,United States,0,560,21875,999635,3096275,,place01,Montreal,place24,Louisville,0,0,0,0,0,1,1
CAN,Canada,USA,United States,0,560,21875,999635,3096275,,place01,Montreal,place25,Manhattan,0,0,0,0,4,1,1
CAN,Canada,USA,United States,0,560,21875,999635,3096275,,place01,Montreal,place26,Milwaukee,0,0,0,0,0,1,1
CAN,Canada,USA,United States,0,560,21875,999635,3096275,,place01,Montreal,place27,Minneapolis,0,0,0,0,0,1,1
CAN,Canada,USA,United States,0,560,21875,999635,3096275,,place01,Montreal,place28,Missouri,0,0,0,0,0,1,1
CAN,Canada,USA,United States,0,560,21875,999635,3096275,,place01,Montreal,place29,New Orleans,0,0,0,0,0,1,1
CAN,Canada,USA,United States,0,560,21875,999635,3096275,,place01,Montreal,place30,New York,0,0,0,0,0,1,1
CAN,Canada,USA,United States,0,560,21875,999635,3096275,,place01,Montreal,place31,New York City,0,0,1,4,1,1,1
CAN,Canada,USA,United States,0,560,21875,999635,3096275,,place01,Montreal,place32,Newark,0,0,0,0,0,1,1
CAN,Canada,USA,United States,0,560,21875,999635,3096275,,place01,Montreal,place33,Oakland,0,0,0,0,0,1,1
CAN,Canada,USA,United States,0,560,21875,999635,3096275,,place01,Montreal,place34,Omaha,0,0,0,0,0,1,1
CAN,Canada,USA,United States,0,560,21875,999635,3096275,,place01,Montreal,place35,Palm Springs,0,0,0,0,0,1,1
CAN,Canada,USA,United States,0,560,21875,999635,3096275,,place01,Montreal,place36,Pennsylvania,0,0,0,0,0,1,1
CAN,Canada,USA,United States,0,560,21875,999635,3096275,,place01,Montreal,place37,Philadelphia,0,0,0,0,0,1,1
CAN,Canada,USA,United States,0,560,21875,999635,3096275,,place01,Montreal,place38,Pittsburgh,0,0,0,0,0,1,1
CAN,Canada,USA,United States,0,560,21875,999635,3096275,,place01,Montreal,place39,Portland,0,0,0,0,0,1,1
CAN,Canada,USA,United States,0,560,21875,999635,3096275,,place01,Montreal,place40,Salt Lake City,0,0,0,0,0,1,1
CAN,Canada,USA,United States,0,560,21875,999635,3096275,,place01,Montreal,place41,San Antonio,0,0,0,0,0,1,1
CAN,Canada,USA,United States,0,560,21875,999635,3096275,,place01,Montreal,place42,San Diego,0,0,0,0,0,1,1
CAN,Canada,USA,United States,0,560,21875,999635,3096275,,place01,Montreal,place43,San Francisco,0,0,0,0,0,1,1
CAN,Canada,USA,United States,0,560,21875,999635,3096275,,place01,Montreal,place44,Santa Barbara,0,0,0,0,1,1,1
CAN,Canada,USA,United States,0,560,21875,999635,3096275,,place01,Montreal,place45,Santa Monica,0,0,0,0,0,1,1
CAN,Canada,USA,United States,0,560,21875,999635,3096275,,place01,Montreal,place46,Seattle,0,0,0,0,0,1,1
CAN,Canada,USA,United States,0,560,21875,999635,3096275,,place01,Montreal,place47,Sherman Oaks,0,0,0,0,0,1,1
CAN,Canada,USA,United States,0,560,21875,999635,3096275,,place01,Montreal,place48,St. Louis,0,0,0,0,0,1,1
CAN,Canada,USA,United States,0,560,21875,999635,3096275,,place01,Montreal,place49,The Bronx,0,0,0,0,0,1,1
CAN,Canada,USA,United States,0,560,21875,999635,3096275,,place01,Montreal,place50,Washington DC,0,0,0,1,1,1,1
CAN,Canada,USA,United States,0,560,21875,999635,3096275,,place01,Montreal,place51,Woodland Hills,0,0,0,0,9,1,1
CAN,Canada,AUT,Austria,0,0,0,0,0,,place01,Montreal,place52,Graz,0,0,0,0,0,1,1
CAN,Canada,AUT,Austria,0,0,0,0,0,,place01,Montreal,place53,Vienna,0,0,0,0,0,1,1
CAN,Canada,FRA,France,0,8,8,512,122,,place01,Montreal,place58,Bordeaux,0,0,0,0,0,1,1
CAN,Canada,FRA,France,0,8,8,512,122,,place01,Montreal,place59,Dijon,0,0,0,0,0,1,1
CAN,Canada,FRA,France,0,8,8,512,122,,place01,Montreal,place60,France,0,0,0,0,0,1,1
CAN,Canada,FRA,France,0,8,8,512,122,,place01,Montreal,place61,Lyon,0,0,0,0,0,1,1
CAN,Canada,FRA,France,0,8,8,512,122,,place01,Montreal,place62,Marseille,0,0,0,0,0,1,1
